,date,smb,hml,exret
0,1926-06-30,-0.023,-0.0287,0.0292107
1,1926-07-31,-0.014,0.04190000000000001,0.026147280000000002
2,1926-08-31,-0.0132,0.0001,0.00348737
3,1926-09-30,0.0004,0.0051,-0.03219619
4,1926-10-31,-0.002,-0.0035,0.02545394
5,1926-11-30,-0.0004,-0.0002,0.026411
6,1926-12-31,-0.005600000000000001,0.0483,-8.377199999999975e-05
7,1927-01-31,-0.001,0.0317,0.042770100000000005
8,1927-02-28,-0.016,-0.0267,0.0007562790000000003
9,1927-03-31,0.0043,0.006,0.004725051000000001
10,1927-04-30,0.0141,0.0493,0.05477311
11,1927-05-31,0.004699999999999999,-0.0153,-0.02368671
12,1927-06-30,-0.0323,-0.0116,0.07227909
13,1927-07-31,-0.0072,-0.0369,0.01969037
14,1927-08-31,-0.0357,-0.0071,0.04782352
15,1927-09-30,0.0213,-0.0433,-0.0432699
16,1927-10-31,0.0276,-0.0031,0.06635258
17,1927-11-30,0.009300000000000001,-0.0106,0.02158212
18,1927-12-31,0.0425,-0.0072,-0.005839723
19,1928-01-31,-0.0203,-0.0069,-0.01777756
20,1928-02-29,-0.0026,-0.012,0.08757843
21,1928-03-31,0.0382,0.0367,0.04164581
22,1928-04-30,0.0298,-0.0346,0.01449032
23,1928-05-31,-0.035,-0.0006,-0.04834517
24,1928-06-30,-0.0135,-0.004699999999999999,0.006199799000000001
25,1928-07-31,-0.0207,-0.0211,0.06700616000000001
26,1928-08-31,0.0233,0.009899999999999999,0.028797829999999996
27,1928-09-30,0.0227,-0.0226,0.015127950000000001
28,1928-10-31,-0.0181,0.028,0.1176999
29,1928-11-30,-0.0085,-0.006,0.004957177
30,1928-12-31,-0.0354,-0.0121,0.05053473
31,1929-01-31,-0.0039,0.0168,-0.0040461388
32,1929-02-28,-0.0474,0.0161,-0.011208392000000001
33,1929-03-31,-0.01,0.006,0.013579130000000002
34,1929-04-30,-0.0535,-0.014,-0.06432296
35,1929-05-31,-0.0217,-0.0276,0.0963726
36,1929-06-30,-0.0388,0.0266,0.042657610000000006
37,1929-07-31,-0.09519999999999999,0.0006,0.08134303
38,1929-08-31,0.0117,-0.0063,-0.05395466
39,1929-09-30,-0.0408,0.0785,-0.20128359999999998
40,1929-10-31,-0.019,0.0533,-0.1275121
41,1929-11-30,-0.0433,-0.0059,0.01269001
42,1929-12-31,0.0354,-0.0101,0.057006610000000006
43,1930-01-31,0.0013,0.0039,0.025241660000000003
44,1930-02-28,0.0343,0.0015,0.07113142
45,1930-03-31,-0.002,-0.0084,-0.0226411
46,1930-04-30,-0.0204,-0.0063,-0.01661008
47,1930-05-31,-0.03240000000000001,0.02,-0.1626798
48,1930-06-30,-0.0037,-0.0156,0.039963649999999996
49,1930-07-31,-0.0222,-0.007800000000000001,0.002762904
50,1930-08-31,-0.0222,-0.0527,-0.1270049
51,1930-09-30,-0.001,-0.0135,-0.08747879
52,1930-10-31,0.0221,-0.0353,-0.02935652
53,1930-11-30,-0.0467,-0.05400000000000001,-0.07913924
54,1930-12-31,0.0377,0.0716,0.062280459999999996
55,1931-01-31,0.0338,0.0161,0.1092945
